word,n,ngram_length,count,text_count
65 and what was left of,2,6,1,2
a boy of fourteen,2,4,1,2
a certain amount of,2,4,1,2
a day or two before,2,5,1,2
a fifteen year old,2,4,1,2
a foe who did not,2,5,1,2
a girl shreve said,2,4,1,2
a good deal more,2,4,1,2
a good deal of,3,4,1,3
a handful of men,2,4,1,2
a holocaust which had,2,4,1,2
a hundred miles of,2,4,1,2
a little more of the,2,5,1,2
a man past sixty,2,4,1,2
a man with a,2,4,1,3
a methodist steward a merchant,2,5,1,2
a mile of the,2,4,1,2
a part of him,2,4,1,2
a part of the,5,4,1,5
a scrap of paper,2,4,1,2
a shawl over her head,2,5,1,2
a situation where she could,2,5,1,2
a six hundred mile journey to,2,6,1,2
a spotting shot with,2,4,1,2
a summer of wistaria,2,4,1,2
a time when he,2,4,1,3
a white man and,2,4,1,2
a wife and family,2,4,1,2
a year or so,2,4,1,2
about his shoulders and,2,4,1,2
about how he got,2,4,1,2
about it he said,3,4,1,3
about that engagement which,2,4,1,2
about the mistress and,2,4,1,2
about the octoroon and the,2,5,1,2
about who and where,2,4,1,2
above all the other,2,4,1,2
across the dinner table and,2,5,1,2
after a period of four years,2,6,1,2
after a while they,2,4,1,2
after that first christmas,2,4,1,2
after the four years and,2,5,1,2
after the house was,2,4,1,2
after whatever it was,2,4,1,2
against his linen leg,2,4,1,2
agree to marry the,2,4,1,2
ah mr compson said,3,4,1,3
air you rosie coldfield,2,4,1,2
all divided and fixed and neat,2,6,1,2
all he had to do now,2,6,1,2
all he would need,2,4,1,2
all i do not,2,4,1,2
all of a sudden he,3,5,1,3
all of a sudden it,2,5,1,3
all of a sudden you knew,2,6,1,2
all of them that,2,4,1,2
all right all right all right that,3,7,1,3
all right all right quentin said,2,6,1,2
all right all right that this old,2,7,1,2
all right because they,2,4,1,2
all right he said,2,4,1,2
all right i will,2,4,1,2
all that he had,2,4,1,2
all that was all,3,4,1,3
all the living ones,2,4,1,2
all the other men,2,4,1,2
all the time it was,2,5,1,2
almost as large as,2,4,1,2
an awful lot of,2,4,1,2
and after a while,2,4,1,2
and all with the,2,4,1,2
and began to scream,2,4,1,2
and bon had ridden away in the,2,7,1,2
and bon riding beside him trying to find out,2,9,1,2
and bon watching him,2,4,1,2
and brother in law,2,4,1,2
and by quentin compson,2,4,1,2
and charles bon and,2,4,1,2
and demon or no,2,4,1,2
and did not even,2,4,1,2
and father said how,3,4,1,3
and father said maybe,2,4,1,2
and father said that maybe,2,5,1,2
and for the same reason,2,5,1,2
and found out that,2,4,1,2
and gave to your grandmother,2,5,1,2
and give it to,2,4,1,2
and go on and,2,4,1,2
and go to bed chapter,2,5,1,2
and grandfather not saying wait,2,5,1,2
and grandfather said he,2,4,1,2
and grandfather said how he,2,5,1,2
and grandfather said it was,2,5,1,2
and hame strings and,2,4,1,2
and he could not,2,4,1,2
and he did not,3,4,1,3
and he didn't care,2,4,1,2
and he he was,2,4,1,2
and he knew that,4,4,1,4
and he looked at,2,4,1,2
and he not only,3,4,1,3
and he said how sutpen,2,5,1,2
and he said yes,2,4,1,2
and he standing there,4,4,1,4
and he stood there,2,4,1,2
and he telling it,2,4,1,2
and he the demon,2,4,1,2
and he took the,2,4,1,2
and he was not,2,4,1,2
and he would have,2,4,1,2
and he would know,2,4,1,2
and he would not,2,4,1,2
and henry and bon,5,4,1,5
and henry and judith,5,4,1,5
and henry and the,2,4,1,2
and henry lay there struggling,2,5,1,2
and henry said you,2,4,1,2
and henry you mean,2,4,1,2
and his father said,2,4,1,2
and his teeth showing,2,4,1,2
and honor and pride,2,4,1,2
and how could i,2,4,1,2
and how i saw,2,4,1,2
and i a child,2,4,1,2
and i did not,2,4,1,2
and i dont know,2,4,1,2
and i would know,2,4,1,2
and if it was a boy,2,6,1,2
and if she had not,2,5,1,2
and into the house,2,4,1,2
and it did not,2,4,1,2
and it dont matter now,2,5,1,2
and it was not,2,4,1,2
and it would be hard to say,2,7,1,2
and it would not,2,4,1,2
and judith and clytie,2,4,1,2
and judith didn't lie,2,4,1,2
and knew that he would,2,5,1,2
and known that he would,2,5,1,2
and left no trace,2,4,1,2
and listened to his voice,2,5,1,2
and lock the door and,2,5,1,2
and look at all the objects,2,6,1,2
and looked at it,2,4,1,2
and looked at the,2,4,1,3
and looking down at,2,4,1,2
and maybe even the,2,4,1,2
and maybe it was,3,4,1,4
and maybe it would be,2,5,1,2
and maybe not even,2,4,1,2
and me both to make,2,5,1,2
and more than that,2,4,1,2
and most of the,2,4,1,3
and nailed the door behind him and threw the hammer out the window,2,13,1,2
and not at all,2,4,1,2
and not even aware that,2,5,1,2
and not knowing that,2,4,1,2
and not looking at,2,4,1,2
and one of the,2,4,1,3
and out to the,2,4,1,2
and put him to,2,4,1,2
and putting him to bed and,2,6,1,2
and realised that he,2,4,1,2
and returned to the,2,4,1,2
and said well milly too bad you're not a mare,2,10,1,2
and say protect her,2,4,1,2
and seen through the,2,4,1,2
and she didn't tell you in,2,6,1,2
and she looked at,2,4,1,2
and she may not have known,2,6,1,2
and she said no and,2,5,1,2
and she watching him,2,4,1,2
and sleep and sleep,2,4,1,1
and so he was,2,4,1,2
and so he went,2,4,1,2
and so he would,2,4,1,2
and so in a,2,4,1,2
and so into the,2,4,1,2
and so it was not,2,5,1,2
and so would have,2,4,1,2
and something between the,2,4,1,2
and still he did,2,4,1,2
and still nothing said about,2,5,1,2
and stood over the pallet,2,5,1,2
and such which they,2,4,1,2
and sutpen saying nothing,2,4,1,2
and that he had,3,4,1,3
and that he would,2,4,1,2
and that henry had formally abjured his,2,7,1,2
and that if he had,2,5,1,2
and that it would be,2,5,1,2
and that now the,2,4,1,3
and that was all,7,4,1,7
and the architect departed,2,4,1,2
and the aunt rosa,2,4,1,2
and the aunt who,2,4,1,2
and the child and,2,4,1,2
and the child so,2,4,1,2
and the demon would,2,4,1,2
and the end of,2,4,1,2
and the father and,2,4,1,2
and the man who,3,4,1,4
and the niggers in the,2,5,1,2
and the old man said,2,5,1,2
and the old nigger,2,4,1,2
and the other i dont know,2,6,1,2
and the sister whom,2,4,1,2
and the very fact that,2,5,1,2
and the whiskey and,2,4,1,2
and then all of a sudden,2,6,1,2
and then he said,2,4,1,2
and then he would,4,4,1,4
and then it was,3,4,1,3
and then on the,2,4,1,2
and then one afternoon,3,4,1,3
and then only because,2,4,1,2
and then the demon,2,4,1,2
and then turned right around and,2,6,1,2
and there was no,2,4,1,4
and they would not have to,2,6,1,2
and this is one,2,4,1,2
and three times a week,2,5,1,2
and told henry and,2,4,1,2
and told him to,2,4,1,2
and took up the,3,4,1,3
and turned and went on up the stairs,2,8,1,2
and turned on the,2,4,1,2
and waited for the,3,4,1,3
and walk out of the,2,5,1,2
and watched him ride,2,4,1,2
and went out and,3,4,1,3
and what he was,2,4,1,3
and when he returned,2,4,1,2
and which the aunt,2,4,1,2
and who to know what,2,5,1,2
and who would have,2,4,1,2
and with the same,2,4,1,2
and would have known,2,4,1,2
and would not have,2,4,1,2
